RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 3,2019,16/2/2019,PKNP FC,Perak,Petaling Jaya City FC,Selangor,2,3,-1,A
Round 3,2019,17/2/2019,Selangor FC,Selangor,PKNS FC,Selangor,0,4,-4,A
Round 3,2019,23/4/2019,Kuala Lumpur City FC,Kuala Lumpur,Perak FC,Perak,3,3,0,D
Round 4,2019,22/2/2019,Kuala Lumpur City FC,Kuala Lumpur,Terengganu FC,Terengganu,0,1,-1,A
Round 4,2019,22/2/2019,Petaling Jaya City FC,Selangor,Kedah Darul Aman FC,Kedah,0,2,-2,A
Round 4,2019,23/2/2019,JDT,Johor,Melaka United FC,Melaka,2,1,1,H
Round 4,2019,23/2/2019,Perak FC,Perak,Felda United FC,Pahang,1,1,0,D
Round 4,2019,23/2/2019,PKNS FC,Selangor,PKNP FC,Perak,1,0,1,H
Round 4,2019,24/2/2019,Sri Pahang FC,Pahang,Selangor FC,Selangor,1,1,0,D
Round 5,2019,1/3/2019,Selangor FC,Selangor,JDT,Johor,2,4,-2,A
Round 5,2019,1/3/2019,Terengganu FC,Terengganu,Perak FC,Perak,1,1,0,D
Round 5,2019,2/3/2019,Felda United FC,Pahang,Petaling Jaya City FC,Selangor,1,0,1,H
Round 5,2019,2/3/2019,Kedah Darul Aman FC,Kedah,PKNS FC,Selangor,0,0,0,D
Round 5,2019,2/3/2019,PKNP FC,Perak,Sri Pahang FC,Pahang,0,3,-3,A
Round 5,2019,3/3/2019,Melaka United FC,Melaka,Kuala Lumpur City FC,Kuala Lumpur,2,0,2,H
Round 6,2019,8/3/2019,Sri Pahang FC,Pahang,Kedah Darul Aman FC,Kedah,1,0,1,H
Round 6,2019,9/3/2019,JDT,Johor,PKNP FC,Perak,3,0,3,H
Round 6,2019,9/3/2019,Perak FC,Perak,Petaling Jaya City FC,Selangor,1,0,1,H
Round 6,2019,9/3/2019,PKNS FC,Selangor,Felda United FC,Pahang,2,0,2,H
Round 6,2019,9/3/2019,Terengganu FC,Terengganu,Melaka United FC,Melaka,3,0,3,H
Round 6,2019,10/3/2019,Kuala Lumpur City FC,Kuala Lumpur,Selangor FC,Selangor,2,3,-1,A
Round 7,2019,29/3/2019,Kedah Darul Aman FC,Kedah,JDT,Johor,1,1,0,D
Round 7,2019,29/3/2019,Melaka United FC,Melaka,Perak FC,Perak,0,0,0,D
